codigo,planta,material,lado_corto_m,lado_largo_m,tipo,x_plano,y_plano
PB-M-111,PB,Moret,0.274,0.439,recorte,497.502,-89.941
PB-M-112,PB,Moret,0.6,1.194,completa,489.839,-90.923
PB-M-113,PB,Moret,0.6,1.194,completa,490.441,-90.923
PB-M-114,PB,Moret,0.6,1.194,completa,491.043,-90.923
PB-M-115,PB,Moret,0.6,1.194,completa,491.645,-90.923
PB-M-116,PB,Moret,0.6,1.194,completa,492.247,-90.923
PB-M-117,PB,Moret,0.6,1.194,completa,492.849,-90.923
PB-M-118,PB,Moret,0.6,1.194,completa,493.451,-90.923
PB-M-119,PB,Moret,0.6,1.194,completa,494.053,-90.923
PB-M-120,PB,Moret,0.6,1.194,completa,494.655,-90.923
PB-M-121,PB,Moret,0.6,1.18,completa,495.257,-90.93
PB-M-122,PB,Moret,0.6,1.12,recorte,495.859,-90.9
PB-M-123,PB,Moret,0.6,1.12,recorte,497.063,-90.9
PB-M-124,PB,Moret,0.6,1.05,recorte,489.839,-92.047
PB-M-125,PB,Moret,0.6,1.05,recorte,490.441,-92.047
PB-M-126,PB,Moret,0.6,1.05,recorte,491.043,-92.047
PB-M-127,PB,Moret,0.6,1.05,recorte,491.645,-92.047
PB-M-128,PB,Moret,0.6,1.05,recorte,492.247,-92.047
PB-M-129,PB,Moret,0.6,1.05,recorte,492.849,-92.047
PB-M-130,PB,Moret,0.6,1.05,recorte,493.451,-92.047
PB-M-131,PB,Moret,0.6,1.11,recorte,495.859,-92.017
PB-M-132,PB,Moret,0.6,1.11,recorte,496.461,-92.017
PB-M-133,PB,Moret,0.6,1.11,recorte,497.063,-92.017
PB-M-134,PB,Moret,0.6,1.188,completa,494.053,-92.116
PB-M-135,PB,Moret,0.6,1.188,completa,494.655,-92.116
PB-R-001,PB,Royal Walnut,0.214,1.086,recorte,497.472,-83.803
PB-R-002,PB,Royal Walnut,0.214,1.194,completa,497.472,-84.945
PB-R-003,PB,Royal Walnut,0.214,1.194,completa,497.472,-86.141
PB-R-004,PB,Royal Walnut,0.214,1.12,recorte,497.472,-87.3
PB-R-005,PB,Royal Walnut,0.136,0.471,recorte,494.887,-88.17
PB-R-006,PB,Royal Walnut,0.15,0.471,recorte,495.634,-88.17
PB-R-007,PB,Royal Walnut,0.15,0.471,recorte,495.634,-88.17
PB-R-008,PB,Royal Walnut,0.136,1.194,recorte,494.887,-89.122
PB-R-009,PB,Royal Walnut,0.136,0.439,recorte,494.887,-89.941
PB-R-010,PB,Royal Walnut,0.238,1.12,recorte,496.28,-90.9
PB-R-011,PB,Royal Walnut,0.182,1.12,recorte,496.67,-90.9
PB-R-012,PB,Royal Walnut,0.214,1.12,recorte,497.472,-90.9
PB-R-013,PB,Royal Walnut,0.168,1.11,recorte,495.473,-92.017
PB-R-014,PB,Royal Walnut,0.214,1.11,recorte,497.472,-92.017
PB-R-015,PB,Royal Walnut,0.252,1.188,completa,495.083,-92.116
