material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.0818,0.2,no,corte_esquina,332.387,-128.712
Royal Walnut,0.2,0.6823,no,corte_largo,332.186,-129.012
Moret,0.0818,0.2,no,corte_esquina,331.985,-128.712
Royal Walnut,0.2,0.7723,no,corte_largo,331.784,-128.967
Royal Walnut,0.1718,0.2,no,corte_esquina,331.583,-128.667
Royal Walnut,0.2,0.7723,no,corte_largo,331.382,-128.967
Royal Walnut,0.1718,0.2,no,corte_esquina,331.181,-128.667
Royal Walnut,0.2,0.7723,no,corte_largo,330.98,-128.967
Moret,0.0818,0.2,no,corte_esquina,330.779,-128.712
Royal Walnut,0.2,0.6823,no,corte_largo,330.578,-129.012
Moret,0.0818,0.2,no,corte_esquina,330.377,-128.712
Moret,0.1237,0.3462,no,corte_esquina,333.555,-121.053
Royal Walnut,0.1421,1.2,no,corte_ancho,330.808,-121.827
Royal Walnut,0.2,1.0245,no,corte_largo,330.377,-124.317
Moret,0.0651,0.8499,no,corte_esquina,330.243,-124.229
Moret,0.089,0.8499,no,corte_esquina,328.952,-124.229
Moret,0.596,1.15,no,corte_largo,317.355,-126.029
Moret,0.596,1.15,no,corte_largo,316.757,-126.029
Moret,0.1394,1.1,no,corte_esquina,320.749,-122.634
Moret,0.1393,0.8996,no,corte_esquina,323.798,-122.634
Moret,0.0714,0.2711,no,corte_esquina,330.041,-123.806
Moret,0.3235,0.7294,no,corte_esquina,330.602,-128.78
Moret,0.0841,0.8371,no,corte_esquina,329.09,-125.028
Moret,0.143,1.1,no,corte_esquina,320.749,-122.773
Moret,0.1268,0.9903,no,corte_esquina,323.663,-127.211
Moret,0.596,1.15,no,corte_largo,317.953,-126.029
Moret,0.596,1.15,no,corte_largo,318.551,-126.029
Moret,0.596,1.15,no,corte_largo,319.149,-126.029
Moret,0.596,1.15,no,corte_largo,319.747,-126.029
Moret,0.596,1.15,no,corte_largo,320.345,-126.029
Moret,0.596,1.15,no,corte_largo,320.943,-126.029
Moret,0.596,1.15,no,corte_largo,321.541,-126.029
Moret,0.596,1.15,no,corte_largo,322.139,-126.029
Moret,0.596,1.15,no,corte_largo,322.737,-126.029
Moret,0.596,1.15,no,corte_largo,323.335,-126.029
Moret,0.4336,1.15,no,corte_esquina,323.851,-126.029
Moret,0.596,1.194,si,completa,320.345,-127.203
Moret,0.596,1.194,si,completa,319.747,-127.203
Moret,0.596,1.194,si,completa,319.149,-127.203
Moret,0.596,1.194,si,completa,318.551,-127.203
Moret,0.596,1.194,si,completa,317.953,-127.203
Moret,0.596,1.194,si,completa,317.355,-127.203
Moret,0.596,1.194,si,completa,316.757,-127.203
Moret,0.596,1.194,si,completa,321.541,-127.821
Moret,0.596,0.6163,no,corte_largo,322.139,-126.914
Moret,0.4336,0.4383,no,corte_esquina,323.851,-126.825
Moret,0.596,0.6183,no,corte_largo,323.335,-126.915
Moret,0.468,0.596,no,corte_esquina,321.541,-126.84
Moret,0.596,1.194,si,completa,320.943,-127.203
Moret,0.596,1.194,si,completa,320.345,-128.399
Moret,0.596,1.194,si,completa,319.747,-128.399
Moret,0.596,1.194,si,completa,319.149,-128.399
Moret,0.596,1.194,si,completa,318.551,-128.399
Moret,0.596,1.194,si,completa,317.953,-128.399
Moret,0.596,1.194,si,completa,317.355,-128.399
Moret,0.596,1.194,si,completa,316.757,-128.399
Moret,0.596,1.194,si,completa,320.943,-128.399
Moret,0.596,1.194,si,completa,320.345,-129.595
Moret,0.596,1.194,si,completa,319.747,-129.595
Moret,0.596,1.194,si,completa,319.149,-129.595
Moret,0.596,1.194,si,completa,318.551,-129.595
Moret,0.596,1.194,si,completa,317.953,-129.595
Moret,0.596,1.194,si,completa,317.355,-129.595
Moret,0.596,1.194,si,completa,316.757,-129.595
Moret,0.596,1.194,si,completa,320.943,-129.595
Moret,0.3539,0.596,no,corte_esquina,323.335,-128.597
Moret,0.3539,0.596,no,corte_esquina,322.737,-128.597
Moret,0.3539,0.596,no,corte_esquina,322.139,-128.597
Moret,0.3539,0.596,no,corte_esquina,321.541,-128.597
Moret,0.596,0.8692,no,corte_largo,322.737,-129.432
Moret,0.596,1.194,si,completa,322.139,-129.595
Moret,0.596,1.194,si,completa,321.541,-129.595
Moret,0.0418,0.596,no,corte_esquina,321.541,-128.975
Moret,0.0418,0.596,no,corte_esquina,322.139,-128.975
Moret,0.0418,0.596,no,corte_esquina,322.737,-128.975
Moret,0.0418,0.5275,no,corte_esquina,323.3,-128.975
Moret,0.596,0.66,no,corte_largo,320.345,-130.524
Moret,0.596,0.66,no,corte_largo,319.747,-130.524
Moret,0.596,0.66,no,corte_largo,319.149,-130.524
Moret,0.596,0.66,no,corte_largo,318.551,-130.524
Moret,0.596,0.66,no,corte_largo,317.953,-130.524
Moret,0.596,0.66,no,corte_largo,317.355,-130.524
Moret,0.596,0.66,no,corte_largo,316.757,-130.524
Moret,0.596,0.94,no,corte_largo,320.943,-130.664
Moret,0.4576,0.94,no,corte_esquina,322.07,-130.664
Moret,0.596,0.94,no,corte_largo,321.541,-130.664
Moret,0.0523,1.194,no,corte_ancho,321.215,-127.821
Moret,0.0523,0.3539,no,corte_esquina,321.215,-128.597
Moret,0.596,1.194,si,completa,320.345,-124.855
Moret,0.596,1.194,si,completa,319.747,-124.855
Moret,0.596,1.194,si,completa,319.149,-124.855
Moret,0.596,1.194,si,completa,318.551,-124.855
Moret,0.596,1.194,si,completa,317.953,-124.855
Moret,0.596,1.194,si,completa,317.355,-124.855
Moret,0.596,1.194,si,completa,316.757,-124.855
Moret,0.596,1.194,si,completa,321.541,-124.855
Moret,0.596,1.194,si,completa,320.943,-124.855
Moret,0.596,1.194,si,completa,322.737,-124.855
Moret,0.596,1.194,si,completa,322.139,-124.855
Moret,0.4336,1.194,no,corte_ancho,323.851,-124.855
Moret,0.596,1.194,si,completa,323.335,-124.855
Moret,0.596,1.194,si,completa,320.345,-123.659
Moret,0.596,1.194,si,completa,319.747,-123.659
Moret,0.596,1.194,si,completa,319.149,-123.659
Moret,0.596,1.194,si,completa,318.551,-123.659
Moret,0.596,1.194,si,completa,317.953,-123.659
Moret,0.596,1.194,si,completa,317.355,-123.659
Moret,0.596,1.194,si,completa,316.757,-123.659
Moret,0.596,1.194,si,completa,321.541,-123.659
Moret,0.596,1.194,si,completa,320.943,-123.659
Moret,0.596,1.194,si,completa,322.737,-123.659
Moret,0.596,1.194,si,completa,322.139,-123.659
Moret,0.4336,1.194,no,corte_ancho,323.851,-123.659
Moret,0.596,1.194,si,completa,323.335,-123.659
Moret,0.596,0.7597,no,corte_largo,320.345,-122.275
Moret,0.596,0.7597,no,corte_largo,319.747,-122.275
Moret,0.596,0.7597,no,corte_largo,319.149,-122.275
Moret,0.596,0.7597,no,corte_largo,318.551,-122.275
Moret,0.596,0.7597,no,corte_largo,317.953,-122.275
Moret,0.596,0.7597,no,corte_largo,317.355,-122.275
Moret,0.596,0.7197,no,corte_largo,316.757,-122.255
Moret,0.596,0.7597,no,corte_largo,321.541,-122.275
Moret,0.596,0.7597,no,corte_largo,320.943,-122.275
Moret,0.596,0.7597,no,corte_largo,322.737,-122.275
Moret,0.596,0.7597,no,corte_largo,322.139,-122.275
Moret,0.596,0.7597,no,corte_largo,323.335,-122.275
Moret,0.3253,0.596,no,corte_esquina,317.355,-122.897
Moret,0.3253,0.596,no,corte_esquina,317.953,-122.897
Moret,0.3253,0.596,no,corte_esquina,318.551,-122.897
Moret,0.3253,0.596,no,corte_esquina,319.149,-122.897
Moret,0.3253,0.596,no,corte_esquina,319.747,-122.897
Moret,0.3253,0.596,no,corte_esquina,320.345,-122.897
Moret,0.2653,0.596,no,corte_esquina,320.943,-122.927
Moret,0.3253,0.596,no,corte_esquina,321.541,-122.897
Moret,0.3253,0.596,no,corte_esquina,322.139,-122.897
Moret,0.3253,0.596,no,corte_esquina,322.737,-122.897
Moret,0.3253,0.596,no,corte_esquina,323.335,-122.897
Moret,0.2653,0.4336,no,corte_esquina,323.851,-122.927
Moret,0.596,1.194,si,completa,320.345,-121.296
Moret,0.596,1.194,si,completa,319.747,-121.296
Moret,0.596,1.194,si,completa,319.149,-121.296
Moret,0.596,1.194,si,completa,318.551,-121.296
Moret,0.596,1.194,si,completa,317.953,-121.296
Moret,0.596,1.194,si,completa,317.355,-121.296
Moret,0.596,1.194,si,completa,316.757,-121.296
Moret,0.596,1.194,si,completa,321.541,-121.296
Moret,0.596,1.194,si,completa,320.943,-121.296
Moret,0.596,1.194,si,completa,322.737,-121.296
Moret,0.596,1.194,si,completa,322.139,-121.296
Moret,0.596,1.194,si,completa,323.335,-121.296
Moret,0.2653,0.596,no,corte_esquina,316.757,-122.927
