id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
M-082,Moret,no,corte_esquina,0.348,0.304,506.44,-86.408,M-58
M-083,Moret,no,corte_esquina,0.078,0.688,504.163,-87.084,M-72
M-084,Moret,no,corte_largo,0.600,0.688,504.504,-87.084,M-58
M-085,Moret,no,corte_largo,0.600,0.688,505.106,-87.084,M-59
M-086,Moret,no,corte_largo,0.600,0.688,505.708,-87.084,M-60
M-087,Moret,si,completa,0.600,1.194,503.044,-87.291,
M-088,Moret,si,completa,0.598,1.194,503.645,-87.291,
M-089,Moret,no,corte_largo,0.600,1.120,497.063,-87.3,M-17
M-090,Moret,no,corte_esquina,0.498,1.150,500.023,-87.315,M-51
M-091,Moret,no,corte_largo,0.600,1.150,500.574,-87.315,M-02
M-092,Moret,no,corte_esquina,0.270,1.150,501.009,-87.315,M-66
M-093,Moret,no,corte_esquina,0.270,1.150,501.279,-87.315,M-66
M-094,Moret,no,corte_esquina,0.270,1.150,501.549,-87.315,M-67
M-095,Moret,no,corte_esquina,0.270,1.150,501.819,-87.315,M-67
M-096,Moret,no,corte_esquina,0.270,1.150,502.089,-87.315,M-68
M-097,Moret,no,corte_esquina,0.270,1.150,502.359,-87.315,M-68
M-098,Moret,no,corte_esquina,0.250,1.150,502.619,-87.315,M-72
M-099,Moret,si,completa,0.600,1.192,489.839,-87.336,
M-100,Moret,si,completa,0.600,1.194,489.841,-87.336,
M-101,Moret,si,completa,0.600,1.192,490.441,-87.336,
M-102,Moret,si,completa,0.600,1.192,491.043,-87.336,
M-103,Moret,si,completa,0.600,1.192,491.645,-87.336,
M-104,Moret,si,completa,0.600,1.192,492.247,-87.336,
M-105,Moret,si,completa,0.600,1.192,492.849,-87.336,
M-106,Moret,si,completa,0.600,1.192,493.451,-87.336,
M-107,Moret,si,completa,0.600,1.192,494.053,-87.336,
M-108,Moret,si,completa,0.600,1.192,494.655,-87.336,
M-109,Moret,si,completa,0.600,1.192,495.257,-87.336,
M-110,Moret,si,completa,0.600,1.192,495.859,-87.336,
M-111,Moret,si,completa,0.600,1.192,496.461,-87.336,
M-112,Moret,no,corte_ancho,0.078,1.194,504.163,-88.027,M-51
M-113,Moret,si,completa,0.600,1.194,504.504,-88.027,
M-114,Moret,si,completa,0.600,1.194,505.106,-88.027,
M-115,Moret,si,completa,0.600,1.194,505.708,-88.027,
