id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
R-172,Royal Walnut,si,completa,0.200,1.200,504.425,-92.223,
R-173,Royal Walnut,si,completa,0.200,1.200,504.827,-92.223,
R-174,Royal Walnut,si,completa,0.200,1.200,505.229,-92.223,
R-175,Royal Walnut,si,completa,0.200,1.200,505.631,-92.223,
R-176,Royal Walnut,si,completa,0.200,1.200,506.033,-92.223,
R-177,Royal Walnut,si,completa,0.200,1.200,506.435,-92.223,
R-178,Royal Walnut,si,completa,0.200,1.200,506.837,-92.223,
R-179,Royal Walnut,si,completa,0.200,1.200,507.239,-92.223,
R-180,Royal Walnut,si,completa,0.200,1.200,507.641,-92.223,
R-181,Royal Walnut,no,corte_largo,0.200,1.107,504.224,-92.777,RW-23
R-182,Royal Walnut,no,corte_largo,0.200,1.107,504.626,-92.777,RW-24
R-183,Royal Walnut,no,corte_largo,0.200,1.107,505.028,-92.777,RW-25
R-184,Royal Walnut,no,corte_largo,0.200,1.107,505.43,-92.777,RW-26
R-185,Royal Walnut,no,corte_largo,0.200,1.107,505.832,-92.777,RW-27
R-186,Royal Walnut,no,corte_largo,0.200,1.107,506.234,-92.777,RW-28
R-187,Royal Walnut,no,corte_largo,0.200,1.107,506.636,-92.777,RW-29
R-188,Royal Walnut,no,corte_largo,0.200,1.107,507.038,-92.777,RW-30
R-189,Royal Walnut,no,corte_largo,0.200,1.107,507.44,-92.777,RW-31
R-190,Royal Walnut,no,corte_largo,0.200,0.506,504.425,-93.077,RW-74
R-191,Royal Walnut,no,corte_largo,0.200,0.506,504.827,-93.077,RW-75
R-192,Royal Walnut,no,corte_largo,0.200,0.506,505.229,-93.077,RW-75
R-193,Royal Walnut,no,corte_largo,0.200,0.506,505.631,-93.077,RW-76
R-194,Royal Walnut,no,corte_largo,0.200,0.506,506.033,-93.077,RW-76
R-195,Royal Walnut,no,corte_largo,0.200,0.506,506.435,-93.077,RW-77
R-196,Royal Walnut,no,corte_largo,0.200,0.506,506.837,-93.077,RW-77
R-197,Royal Walnut,no,corte_largo,0.200,0.506,507.239,-93.077,RW-78
R-198,Royal Walnut,no,corte_largo,0.200,0.506,507.641,-93.077,RW-78
